"model.id","tissue","tissue.name","patient.id","drug"
"X.007.BG98","X.007.BG98","GC","Gastric Cancer","X-007","BGJ398"
"X.007.biib","X.007.biib","GC","Gastric Cancer","X-007","binimetinib"
"X.007.BK20","X.007.BK20","GC","Gastric Cancer","X-007","BKM120"
"X.007.BY19","X.007.BY19","GC","Gastric Cancer","X-007","BYL719"
"X.007.BY19.HS90","X.007.BY19.HS90","GC","Gastric Cancer","X-007","BYL719 + HSP990"
"X.007.BY19.LJ16","X.007.BY19.LJ16","GC","Gastric Cancer","X-007","BYL719 + LJM716"
"X.007.CL57","X.007.CL57","GC","Gastric Cancer","X-007","CLR457"
"X.007.evus","X.007.evus","GC","Gastric Cancer","X-007","everolimus"
"X.007.fiab","X.007.fiab","GC","Gastric Cancer","X-007","figitumumab"
"X.007.HD01","X.007.HD01","GC","Gastric Cancer","X-007","HDM201"
"X.007.HS90","X.007.HS90","GC","Gastric Cancer","X-007","HSP990"
"X.007.IN80","X.007.IN80","GC","Gastric Cancer","X-007","INC280"
"X.007.IN80.trab","X.007.IN80.trab","GC","Gastric Cancer","X-007","INC280 + trastuzumab"
"X.007.LE11","X.007.LE11","GC","Gastric Cancer","X-007","LEE011"
"X.007.LE11.evus","X.007.LE11.evus","GC","Gastric Cancer","X-007","LEE011 + everolimus"
"X.007.LJ16","X.007.LJ16","GC","Gastric Cancer","X-007","LJM716"
"X.007.LJ16.trab","X.007.LJ16.trab","GC","Gastric Cancer","X-007","LJM716 + trastuzumab"
"X.007.LL71","X.007.LL71","GC","Gastric Cancer","X-007","LLM871"
"X.007.trab","X.007.trab","GC","Gastric Cancer","X-007","trastuzumab"
"X.010.BG98","X.010.BG98","GC","Gastric Cancer","X-010","BGJ398"
"X.010.biib","X.010.biib","GC","Gastric Cancer","X-010","binimetinib"
"X.010.BK20","X.010.BK20","GC","Gastric Cancer","X-010","BKM120"
"X.010.BY19","X.010.BY19","GC","Gastric Cancer","X-010","BYL719"
"X.010.BY19.HS90","X.010.BY19.HS90","GC","Gastric Cancer","X-010","BYL719 + HSP990"
"X.010.BY19.LJ16","X.010.BY19.LJ16","GC","Gastric Cancer","X-010","BYL719 + LJM716"
"X.010.CL57","X.010.CL57","GC","Gastric Cancer","X-010","CLR457"
"X.010.evus","X.010.evus","GC","Gastric Cancer","X-010","everolimus"
"X.010.fiab","X.010.fiab","GC","Gastric Cancer","X-010","figitumumab"
"X.010.HD01","X.010.HD01","GC","Gastric Cancer","X-010","HDM201"
"X.010.HS90","X.010.HS90","GC","Gastric Cancer","X-010","HSP990"
"X.010.IN80","X.010.IN80","GC","Gastric Cancer","X-010","INC280"
"X.010.IN80.trab","X.010.IN80.trab","GC","Gastric Cancer","X-010","INC280 + trastuzumab"
"X.010.LE11","X.010.LE11","GC","Gastric Cancer","X-010","LEE011"
"X.010.LE11.evus","X.010.LE11.evus","GC","Gastric Cancer","X-010","LEE011 + everolimus"
"X.010.LJ16","X.010.LJ16","GC","Gastric Cancer","X-010","LJM716"
"X.010.LJ16.trab","X.010.LJ16.trab","GC","Gastric Cancer","X-010","LJM716 + trastuzumab"
"X.010.LL71","X.010.LL71","GC","Gastric Cancer","X-010","LLM871"
"X.010.trab","X.010.trab","GC","Gastric Cancer","X-010","trastuzumab"
"X.010.uned","X.010.uned","GC","Gastric Cancer","X-010","untreated"
"X.011.BG98","X.011.BG98","GC","Gastric Cancer","X-011","BGJ398"
"X.011.biib","X.011.biib","GC","Gastric Cancer","X-011","binimetinib"
"X.011.BK20","X.011.BK20","GC","Gastric Cancer","X-011","BKM120"
"X.011.BY19","X.011.BY19","GC","Gastric Cancer","X-011","BYL719"
"X.011.BY19.HS90","X.011.BY19.HS90","GC","Gastric Cancer","X-011","BYL719 + HSP990"
"X.011.BY19.LJ16","X.011.BY19.LJ16","GC","Gastric Cancer","X-011","BYL719 + LJM716"
"X.011.CL57","X.011.CL57","GC","Gastric Cancer","X-011","CLR457"
"X.011.evus","X.011.evus","GC","Gastric Cancer","X-011","everolimus"
"X.011.fiab","X.011.fiab","GC","Gastric Cancer","X-011","figitumumab"
"X.011.HD01","X.011.HD01","GC","Gastric Cancer","X-011","HDM201"
"X.011.HS90","X.011.HS90","GC","Gastric Cancer","X-011","HSP990"
"X.011.IN80","X.011.IN80","GC","Gastric Cancer","X-011","INC280"
"X.011.IN80.trab","X.011.IN80.trab","GC","Gastric Cancer","X-011","INC280 + trastuzumab"
"X.011.LE11","X.011.LE11","GC","Gastric Cancer","X-011","LEE011"
"X.011.LE11.evus","X.011.LE11.evus","GC","Gastric Cancer","X-011","LEE011 + everolimus"
"X.011.LJ16","X.011.LJ16","GC","Gastric Cancer","X-011","LJM716"
"X.011.LJ16.trab","X.011.LJ16.trab","GC","Gastric Cancer","X-011","LJM716 + trastuzumab"
"X.011.LL71","X.011.LL71","GC","Gastric Cancer","X-011","LLM871"
"X.011.trab","X.011.trab","GC","Gastric Cancer","X-011","trastuzumab"
"X.015.BG98","X.015.BG98","GC","Gastric Cancer","X-015","BGJ398"
"X.015.biib","X.015.biib","GC","Gastric Cancer","X-015","binimetinib"
"X.015.BK20","X.015.BK20","GC","Gastric Cancer","X-015","BKM120"
"X.015.BY19","X.015.BY19","GC","Gastric Cancer","X-015","BYL719"
"X.015.BY19.HS90","X.015.BY19.HS90","GC","Gastric Cancer","X-015","BYL719 + HSP990"
"X.015.BY19.LJ16","X.015.BY19.LJ16","GC","Gastric Cancer","X-015","BYL719 + LJM716"
"X.015.CL57","X.015.CL57","GC","Gastric Cancer","X-015","CLR457"
"X.015.evus","X.015.evus","GC","Gastric Cancer","X-015","everolimus"
"X.015.fiab","X.015.fiab","GC","Gastric Cancer","X-015","figitumumab"
"X.015.HD01","X.015.HD01","GC","Gastric Cancer","X-015","HDM201"
"X.015.HS90","X.015.HS90","GC","Gastric Cancer","X-015","HSP990"
"X.015.IN80","X.015.IN80","GC","Gastric Cancer","X-015","INC280"
"X.015.IN80.trab","X.015.IN80.trab","GC","Gastric Cancer","X-015","INC280 + trastuzumab"
"X.015.LE11","X.015.LE11","GC","Gastric Cancer","X-015","LEE011"
"X.015.LE11.evus","X.015.LE11.evus","GC","Gastric Cancer","X-015","LEE011 + everolimus"
"X.015.LJ16","X.015.LJ16","GC","Gastric Cancer","X-015","LJM716"
"X.015.LJ16.trab","X.015.LJ16.trab","GC","Gastric Cancer","X-015","LJM716 + trastuzumab"
"X.015.LL71","X.015.LL71","GC","Gastric Cancer","X-015","LLM871"
"X.015.trab","X.015.trab","GC","Gastric Cancer","X-015","trastuzumab"
"X.015.uned","X.015.uned","GC","Gastric Cancer","X-015","untreated"
"X.017.BG98","X.017.BG98","GC","Gastric Cancer","X-017","BGJ398"
"X.017.biib","X.017.biib","GC","Gastric Cancer","X-017","binimetinib"
"X.017.BK20","X.017.BK20","GC","Gastric Cancer","X-017","BKM120"
"X.017.BY19","X.017.BY19","GC","Gastric Cancer","X-017","BYL719"
"X.017.BY19.HS90","X.017.BY19.HS90","GC","Gastric Cancer","X-017","BYL719 + HSP990"
"X.017.BY19.LJ16","X.017.BY19.LJ16","GC","Gastric Cancer","X-017","BYL719 + LJM716"
"X.017.CL57","X.017.CL57","GC","Gastric Cancer","X-017","CLR457"
"X.017.evus","X.017.evus","GC","Gastric Cancer","X-017","everolimus"
"X.017.fiab","X.017.fiab","GC","Gastric Cancer","X-017","figitumumab"
"X.017.HD01","X.017.HD01","GC","Gastric Cancer","X-017","HDM201"
"X.017.HS90","X.017.HS90","GC","Gastric Cancer","X-017","HSP990"
"X.017.IN80","X.017.IN80","GC","Gastric Cancer","X-017","INC280"
"X.017.IN80.trab","X.017.IN80.trab","GC","Gastric Cancer","X-017","INC280 + trastuzumab"
"X.017.LE11","X.017.LE11","GC","Gastric Cancer","X-017","LEE011"
"X.017.LJ16","X.017.LJ16","GC","Gastric Cancer","X-017","LJM716"
"X.017.LJ16.trab","X.017.LJ16.trab","GC","Gastric Cancer","X-017","LJM716 + trastuzumab"
"X.017.LL71","X.017.LL71","GC","Gastric Cancer","X-017","LLM871"
"X.017.trab","X.017.trab","GC","Gastric Cancer","X-017","trastuzumab"
"X.017.uned","X.017.uned","GC","Gastric Cancer","X-017","untreated"
"X.020.BG98","X.020.BG98","GC","Gastric Cancer","X-020","BGJ398"
"X.020.biib","X.020.biib","GC","Gastric Cancer","X-020","binimetinib"
"X.020.BK20","X.020.BK20","GC","Gastric Cancer","X-020","BKM120"
"X.020.BY19","X.020.BY19","GC","Gastric Cancer","X-020","BYL719"
"X.020.BY19.HS90","X.020.BY19.HS90","GC","Gastric Cancer","X-020","BYL719 + HSP990"
"X.020.BY19.LJ16","X.020.BY19.LJ16","GC","Gastric Cancer","X-020","BYL719 + LJM716"
"X.020.CL57","X.020.CL57","GC","Gastric Cancer","X-020","CLR457"
"X.020.evus","X.020.evus","GC","Gastric Cancer","X-020","everolimus"
"X.020.fiab","X.020.fiab","GC","Gastric Cancer","X-020","figitumumab"
"X.020.HD01","X.020.HD01","GC","Gastric Cancer","X-020","HDM201"
"X.020.HS90","X.020.HS90","GC","Gastric Cancer","X-020","HSP990"
"X.020.IN80","X.020.IN80","GC","Gastric Cancer","X-020","INC280"
"X.020.IN80.trab","X.020.IN80.trab","GC","Gastric Cancer","X-020","INC280 + trastuzumab"
"X.020.LE11","X.020.LE11","GC","Gastric Cancer","X-020","LEE011"
"X.020.LE11.evus","X.020.LE11.evus","GC","Gastric Cancer","X-020","LEE011 + everolimus"
"X.020.LJ16","X.020.LJ16","GC","Gastric Cancer","X-020","LJM716"
"X.020.LJ16.trab","X.020.LJ16.trab","GC","Gastric Cancer","X-020","LJM716 + trastuzumab"
"X.020.LL71","X.020.LL71","GC","Gastric Cancer","X-020","LLM871"
"X.020.trab","X.020.trab","GC","Gastric Cancer","X-020","trastuzumab"
"X.020.uned","X.020.uned","GC","Gastric Cancer","X-020","untreated"
"X.023.BY19","X.023.BY19","GC","Gastric Cancer","X-023","BYL719"
"X.023.BY19.HS90","X.023.BY19.HS90","GC","Gastric Cancer","X-023","BYL719 + HSP990"
"X.023.BY19.LJ16","X.023.BY19.LJ16","GC","Gastric Cancer","X-023","BYL719 + LJM716"
"X.023.evus","X.023.evus","GC","Gastric Cancer","X-023","everolimus"
"X.023.HS90","X.023.HS90","GC","Gastric Cancer","X-023","HSP990"
"X.023.LE11","X.023.LE11","GC","Gastric Cancer","X-023","LEE011"
"X.023.LE11.evus","X.023.LE11.evus","GC","Gastric Cancer","X-023","LEE011 + everolimus"
"X.023.LJ16","X.023.LJ16","GC","Gastric Cancer","X-023","LJM716"
"X.023.uned","X.023.uned","GC","Gastric Cancer","X-023","untreated"
"X.024.BY19","X.024.BY19","GC","Gastric Cancer","X-024","BYL719"
"X.024.BY19.HS90","X.024.BY19.HS90","GC","Gastric Cancer","X-024","BYL719 + HSP990"
"X.024.BY19.LJ16","X.024.BY19.LJ16","GC","Gastric Cancer","X-024","BYL719 + LJM716"
"X.024.evus","X.024.evus","GC","Gastric Cancer","X-024","everolimus"
"X.024.HS90","X.024.HS90","GC","Gastric Cancer","X-024","HSP990"
"X.024.LE11","X.024.LE11","GC","Gastric Cancer","X-024","LEE011"
"X.024.LE11.evus","X.024.LE11.evus","GC","Gastric Cancer","X-024","LEE011 + everolimus"
"X.024.LJ16","X.024.LJ16","GC","Gastric Cancer","X-024","LJM716"
"X.024.uned","X.024.uned","GC","Gastric Cancer","X-024","untreated"
"X.025.BG98","X.025.BG98","GC","Gastric Cancer","X-025","BGJ398"
"X.025.biib","X.025.biib","GC","Gastric Cancer","X-025","binimetinib"
"X.025.BK20","X.025.BK20","GC","Gastric Cancer","X-025","BKM120"
"X.025.BY19","X.025.BY19","GC","Gastric Cancer","X-025","BYL719"
"X.025.BY19.HS90","X.025.BY19.HS90","GC","Gastric Cancer","X-025","BYL719 + HSP990"
"X.025.BY19.LJ16","X.025.BY19.LJ16","GC","Gastric Cancer","X-025","BYL719 + LJM716"
"X.025.CL57","X.025.CL57","GC","Gastric Cancer","X-025","CLR457"
"X.025.evus","X.025.evus","GC","Gastric Cancer","X-025","everolimus"
"X.025.fiab","X.025.fiab","GC","Gastric Cancer","X-025","figitumumab"
"X.025.HD01","X.025.HD01","GC","Gastric Cancer","X-025","HDM201"
"X.025.HS90","X.025.HS90","GC","Gastric Cancer","X-025","HSP990"
"X.025.IN80","X.025.IN80","GC","Gastric Cancer","X-025","INC280"
"X.025.IN80.trab","X.025.IN80.trab","GC","Gastric Cancer","X-025","INC280 + trastuzumab"
"X.025.LE11","X.025.LE11","GC","Gastric Cancer","X-025","LEE011"
"X.025.LE11.evus","X.025.LE11.evus","GC","Gastric Cancer","X-025","LEE011 + everolimus"
"X.025.LJ16","X.025.LJ16","GC","Gastric Cancer","X-025","LJM716"
"X.025.LJ16.trab","X.025.LJ16.trab","GC","Gastric Cancer","X-025","LJM716 + trastuzumab"
"X.025.trab","X.025.trab","GC","Gastric Cancer","X-025","trastuzumab"
"X.025.uned","X.025.uned","GC","Gastric Cancer","X-025","untreated"
